ID,cell_line,Irradiation,Messung,hsa-let-7c-5p  ,hsa-let-7f-5p  ,hsa-let-7i-5p  ,hsa-mir-7-5p  ,hsa-mir-9-5p  ,hsa-mir-15a-5p  ,hsa-mir-19b-3p  ,hsa-mir-21-5p  ,hsa-mir-22-3p  ,hsa-mir-23a-3p  ,hsa-mir-23b-3p  ,hsa-mir-24-3p  ,hsa-mir-26a-5p  ,hsa-mir-26b-5p  ,hsa-mir-29a-3p  ,hsa-mir-29b-3p  ,hsa-mir-29c-3p  ,hsa-mir-30a-3p  ,hsa-mir-30b-5p  ,hsa-mir-30d-5p  ,hsa-mir-31-5p  ,hsa-mir-32-5p  ,hsa-mir-34a-5p  ,hsa-mir-34c-5p  ,hsa-mir-92a-3p  ,hsa-mir-125b-5p  ,hsa-mir-126-3p  ,hsa-mir-130a-3p  ,hsa-mir-135b-5p  ,hsa-mir-146a-5p  ,hsa-mir-148a-3p  ,hsa-mir-155-5p  ,hsa-mir-181a-3p  ,hsa-mir-181a-5p  ,hsa-mir-183-5p  ,hsa-mir-200a-3p  ,hsa-mir-200b-3p  ,hsa-mir-203a-3p  ,hsa-mir-205-5p  ,hsa-mir-221-3p  ,hsa-mir-296-5p  ,hsa-mir-378i  ,hsa-mir-424-5p  ,hsa-mir-495-3p  ,hsa-mir-503-5p  ,hsa-mir-16-5p  ,hsa-mir-101-3p  ,hsa-mir-378g  ,hsa-mir-382-5p  ,hsa-mir-1246  ,hsa-mir-4454  
210319 SCL-II irr_1,SCL-II,KAUVIR,210319,599.63,859.68,372.683,297.02,3.839,458.002,608.933,1108.949,1004.136,1184.48,840.393,1390.081,271.382,73.451,420.776,508.043,166.97,5.919,580.52,22.527,184.182,42.07,24.976,51.54,529.644,-2.152,7.183,468.111,147.552,33.773,261.036,-0.641,2.898,148.763,9.652,210.837,110.163,37.974,2720.031,378.392,-1.544,5.652,60.703,-1.849,4.758,1996.664,0.144,3.269,0.0973,2.427,-0.0876
210319 Met-4 K0_2,Met-4,control,210319,673.058,943.872,477.444,249.289,5.651,402.412,413.23,1694.787,861.931,986.108,774.653,932.761,284.134,118.426,772.054,940.594,391.882,9.038,511.567,24.646,347.303,36.853,33.88,1.621,271.245,0.223,9.857,416.085,91.098,3.011,181.519,46.933,17.713,313.381,13.366,180.152,118.171,71.589,1732.216,406.982,5.633,0.152,119.214,9.436,6.268,1147.26,0.372,0.879,2.894,0.404,-0.128
210319 SCL-II irr_2,SCL-II,KAUVIR,210319,806.809,980.661,327.049,281.649,4.603,466.214,568.325,1176.105,937.917,1171.657,963.694,1166.524,287.078,80.764,438.243,443.588,235.262,4.611,495.082,28.712,183.051,26.706,23.559,40.859,507.94,-1.553,10.115,431.538,90.865,27.553,246.309,0.0477,0.0468,140.27,11.031,192.906,132.471,35.993,2247.103,397.688,-1.084,11.095,41.579,-1.51,2.534,1470.327,0.545,5.806,-0.0845,2.047,-0.0664
210319 Met-4 irr_1,Met-4,KAUVIR,210319,606.875,883.567,416.94,344.27,5.138,368.852,386.394,1876.135,926.058,936.539,708.962,885.668,322.779,140.852,806.58,1069.36,372.275,13.717,528.975,29.726,360.95,40.229,32.489,0.898,364.301,1.179,16.731,515.469,122.107,10.28,213.354,51.646,20.139,321.308,17.207,212.147,150.372,69.709,1787.256,517.494,7.828,-0.27,150.954,14.689,9.697,1155.581,0.145,0.892,5.065,0.617,-0.142
210319 Met-4 irr_2,Met-4,KAUVIR,210319,639.449,830.627,393.894,313.502,7.083,380.467,375.464,1491.006,928.74,888.359,736.905,960.811,272.104,139.561,760.706,896.227,395.683,12.911,574.24,40.351,375.468,40.004,49.202,2.979,408.985,1.934,16.787,488.424,81.897,12.915,237.161,61.114,22.737,385.357,26.565,219.798,161.011,92.014,1478.273,507.114,12.366,2.184,145.841,14.481,14.86,1041.796,0.32,1.331,5.04,0.322,-0.105
230519 SCC-13_K0_1,SCC-13,control,230519,862.377,943.901,443.513,122.453,0.328,266.049,423.053,2063.649,1044.919,1205.392,901.096,1004.894,286.599,108.914,683.659,828.276,369.3,9.269,427.67,12.374,178.804,8.226,20.607,1.677,290.413,-3.801,4.226,485.625,58.024,90.816,118.331,31.948,2.533,239.313,9.913,155.364,114.988,75.337,2430.152,384.054,-2.479,-2.5,81.853,-3.156,3.122,1419.358,-0.538,0.477,-0.15,0.147,-0.37
230519 SCC-13_K0_2,SCC-13,control,230519,511.219,623.71,266.578,127.932,0.558,364.934,769.801,1240.192,1184.784,1405.117,825.009,1386.538,265.618,63.488,630.154,823.582,172.519,-0.761,572.655,10.228,123.96,11.757,20.158,16.814,540.204,-5.285,6.066,582.151,60.431,11.232,180.101,1.682,-5.764,70.573,17.113,134.23,94.026,131.53,3163.602,368.154,-8.528,-3.172,83.326,-4.85,1.152,1696.891,-0.935,1.383,-0.5,0.747,-0.555
230519 SCC-13_irr_1,SCC-13,KAUVIR,230519,457.128,622.385,290.364,62.697,7.331,282.694,731.427,1296.122,1062.088,1139.667,795.916,935.007,254.057,82.68,836.464,1075.205,271.94,6.947,722.321,37.364,57.13,14.698,8.887,2.506,726.725,2.907,13.112,685.055,99.625,-2.413,83.138,5.957,-3.217,26.405,28.378,100.066,78.663,382.767,1214.035,478.73,-4.51,11.38,156.67,9.158,10.916,1352.275,-0.407,2.932,2.46,1.58,-0.316
230519 SCC-13_irr_2,SCC-13,KAUVIR,230519,373.803,562.612,321.803,73.25,14.149,317.654,881.776,1386.912,1071.279,1047.121,669.552,1013.513,256.552,84.256,910.271,1143.326,282.987,9.042,713.682,45.261,70.434,27.43,11.07,8.374,865.963,6.171,13.172,735.493,170.752,-0.858,109.334,18.411,-2.259,41.053,27.76,137.498,122.725,381.063,1260.874,495.94,-2.911,11.108,261.405,17.207,9.067,1359.106,-0.246,2.273,3.717,0.735,-0.231
230519 SCL-II_K0_1,SCL-II,control,230519,338.078,438.367,441.37,192.4,1.822,625.61,826.473,1300.883,1234.559,1182.529,513.975,1533.288,295.344,36.909,416.094,488.014,144.838,0.941,674.524,22.836,159.85,21.053,23.152,42.124,621.693,-2.822,10.387,483.612,207.381,7.949,189.304,-3.716,-4.542,150.167,9.131,109.717,100.29,50.602,4462.525,482.616,-9.601,-10.468,56.289,-5.715,-5.937,2723.324,-1.247,-1.713,-0.844,0.249,-0.757
230519 SCL-II_K0_2,SCL-II,control,230519,954.407,1167.412,357.747,120.856,-0.291,525.76,442.161,860.493,761.686,1177.291,1005.389,985.048,204.237,75.204,365.127,329.189,213.887,-0.483,540.163,18.595,103.576,27.576,29.212,20.038,340.664,-0.307,6.75,391.617,85.51,3.596,173.615,-4.762,-4.68,77.889,1.225,121.479,129.606,39.996,3370.296,344.963,-8.775,3.43,27.219,-5.061,-6.983,2125.263,-1.114,3.55,-0.705,0.406,-0.685
230519 SCC-12_K0_1,SCC-12,control,230519,1080.923,814.332,269.198,11.745,-4.249,408.726,948.914,1118.691,745.247,886.82,603.274,791.863,227.424,66.827,739.3,1056.321,376.567,-2.786,429.666,14.494,62.682,7.3,2.059,0.717,860.525,13.525,-6.41,829.847,73.345,-2.238,43.84,0.501,-7.363,112.528,3.822,25.942,37.662,154.8,1905.112,771.137,-10.014,-6.856,443.453,-6.261,13.448,1739.171,-1.544,-0.952,-1.094,-0.498,-0.894
230519 SCC-12_K0_2,SCC-12,control,230519,883.525,594.361,251.813,5.131,-5.864,483.041,1209.485,1101.725,818.056,1034.788,629.501,706.075,194.643,61.153,771.017,930.787,258.216,-7.843,477.081,10.071,31.4,-5.289,2.368,-1.378,1033.815,16.828,-9.674,1031.903,57.082,-8.791,37.558,-6.975,-11.026,114.606,-2.6,31.818,43.844,164.225,2768.922,796.459,-17.883,-16.988,307.257,-10.16,7.399,2062.921,-2.652,-1.899,-1.668,-0.916,-1.19
230519 SCC-12_K0_3,SCC-12,control,230519,1249.089,983.565,288.59,1.836,-5.355,494.324,995.306,1061.126,734.039,813.716,592.405,746.307,172.07,65.142,667.209,968.928,377.813,-3.932,464.017,15.268,31.704,3.025,-0.545,0.903,853.069,18.315,-6.982,775.859,60.865,-6.243,41.696,-6.405,-9.224,76.917,-2.992,33.939,41.016,202.091,2150.404,774.774,-13.447,-12.027,374.639,-7.196,0.136,1448.805,-1.659,-0.755,-1.153,-0.396,-0.811
230519 SCC-12_K0_4,SCC-12,control,230519,834.265,557.672,257.583,2.121,-3.645,464.095,1019.301,1071.287,998.68,998.021,665.948,955.605,216.458,58.96,701.87,841.929,260.881,-3.882,433.372,26.838,66.906,0.819,8.239,5.722,820.28,25.246,-4.573,737.023,29.823,-4.351,62.528,-0.914,-2.958,133.328,3.867,43.863,45.067,642.916,2437.656,771.356,-10.208,-3.365,186.72,-5.373,16.096,1677.705,-1.331,0.966,-0.931,0.13,-0.765
230519 SCC-12_irr_1,SCC-12,KAUVIR,230519,706.443,576.437,225.901,9.013,-2.788,492.944,927.084,974.491,899.111,846.903,574.64,788.252,183.096,50.898,872.204,1082.168,394.318,1.395,369.483,29.107,48.73,5.671,7.523,4.238,1005.466,40.968,-2.786,1033.157,42.594,-3.606,45.806,-0.818,-1.947,161.58,11.806,64.711,48.255,93.786,1388.275,832.963,-8.101,-4.116,408.705,-4.562,33.933,1625.021,-1.113,0.208,-0.659,-0.247,-0.545
230519 SCC-12_irr_3,SCC-12,KAUVIR,230519,806.668,715.154,537.3,151.718,-2.913,337.292,408.961,2310.115,995.805,1180.141,815.624,931.086,254.613,94.237,702.753,885.572,320.607,13.058,367.91,18.147,264.665,8.683,23.749,1.605,295.596,-0.565,-0.306,568.005,67.932,150.152,124.97,55.689,4.955,389.881,3.118,195.645,123.587,23.188,2535.433,605.139,-1.056,-10.785,183.258,-5.316,-0.303,1561.119,-0.962,-1.554,-0.592,0.391,-0.621
230519 SCC-12_irr_4,SCC-12,KAUVIR,230519,845.747,696.884,249.369,20.099,-2.475,434.205,1070.476,1388.515,822.061,901.503,651.603,715.153,261.042,89.76,828.857,1145.626,402.079,3.052,335.996,26.968,57.652,7.854,8.395,3.202,825.536,22.444,-4.056,901.847,93.351,6.672,57.207,0.369,-3.391,159.357,6.89,69.843,54.272,105.911,1607.6,833.803,-6.609,-4.779,491.097,-4.972,12.444,1727.837,-1.085,0.0232,-0.692,-0.226,-0.661
