LOC;REP;DATE;Na;Mg;Al;Si;P;S;Cl;K;Ca;Ti;V;Cr;Mn;Fe;Ni;Cu;Zn;Ga;Ge;As;Br;Rb;Sr;Y;Zr;Nb;Sn;Ba;Ce;Nd;Hf;W;Tl;Pb;Th;U;SOIL;PH;CARB;C_N
P1.5;1;28.09.2023;1965;9565;109200;237700;532.3;938.35;44.5;28495;326.3;6044.5;206.95;121;334.8;33845;49.4;47.3;166.7;30.45;1.5;12.5;3.7;167.25;188;26.8;176.35;14.2;2.1;503.5;102;129.4;4.8;5.7;1.1;77.8;17.1;4.45;Sandiger Schluff;3.66;0;27.18
P1.5;2;28.09.2023;2695;5792.5;94705;190500;573.35;2352.5;179.5;20705;3125;4898.5;157.3;100.3;461.9;24285;41.3;44.25;224.15;22.8;1.2;11.75;7.95;121.45;162.15;25;169.8;12.6;1.6;489;221.5;134.55;4.5;5.05;1.2;114.95;16.2;5.35;Sandiger Schluff;4.35;0;28.59
P1.5;3;28.09.2023;1585;9915;101700;255050;381.9;641.05;31.95;25435;253.3;5992.5;153.4;108.55;630.65;33195;56.05;37.7;174.65;26.05;1.4;4.75;3.15;143;101.6;29.25;247.35;15.45;7;670.5;128;76.4;6.05;5.2;0.7;54.35;15.8;2.8;Sandiger Schluff;3.86;0;30.06
P1.6;1;29.09.2023;1595;;24220;324450;1086.5;1742.5;248.65;7387.5;712.35;1631.5;20.6;31.05;79.55;6847;17.5;24.4;61.35;3.95;1.8;8.3;17.25;25.95;29.4;14.05;536.85;3.9;1.8;187;105;29.2;8.7;4;0.6;114.95;4.35;;Sand;3.29;0;29.24
P1.6;2;29.09.2023;915;;25150;361550;735.85;687.8;142.3;9997;272.5;1567;7.85;26.8;44.2;3062;10.7;9.9;24.95;5.3;1.1;4.55;7.85;32.6;29;10.5;443.95;3.65;;203;115;19.05;8.45;5.9;0.1;40.1;3.3;;Sand;3.33;0;31.44
P1.6;3;29.09.2023;940;;23810;294850;871.15;1565.5;186.5;8833;831.55;1733.5;17.85;37.25;68.9;6051;15.7;20;47.75;8.15;1.1;5.65;13.1;28.4;28.45;9.1;349.15;3.5;7.2;191.5;64;30.6;4.7;5.65;;77.9;3.55;;Sand;3.17;0;26.19
P2.1;1;29.09.2023;3360;7385;59145;301200;899.45;;;18535;10920;4334;60.45;70.35;578.95;24025;30.85;13.45;50.7;10.45;1.6;6.15;0.85;76.6;97.5;30.9;593.4;12.7;2.2;354;78;100.3;13.55;3.75;0.2;17.85;11.15;1.6;Sandiger Schluff;7.02;0.55;18.75
P2.1;2;29.09.2023;3430;7090;60340;306400;850.45;;;18485;5079;4478;73.8;73.45;576.05;24325;31.65;13.2;49.7;10.8;1;7.15;1;76.05;85.9;32.1;623.7;13.5;;349;63;99.4;12.8;4.2;0.2;17.1;11.15;1.25;Sandiger Schluff;6.62;0.16;8.39
P2.1;3;29.09.2023;3820;7205;59945;309550;863.6;;;18595;4863.5;4449.5;69.05;71.15;587.05;24465;31.45;14.45;50.35;10.25;1.4;8.1;1.3;76.35;85.9;31.75;614.3;13.8;;356.5;119;129.35;11.45;3.95;0.3;15.9;10.95;0.85;Sandiger Schluff;6.52;0;7.76
P2.2;1;29.09.2023;2095;246;28290;348350;628.6;599.65;77.95;10720;1155.5;1995.5;29.3;34.3;87.2;8741;12.25;11.65;34.5;7.15;0.8;9;10.2;38.2;39.9;11.75;459.8;4.95;4.25;205;50;26.9;8.7;14.65;0.2;63.25;4.35;;Sand;3.54;0;26.53
P2.2;2;29.09.2023;2360;641;29620;321200;795;1224.5;126.1;10120;1727.5;2021;40.25;36.3;152.05;11540;16.9;19.8;60.65;8.75;1.5;14.35;10.5;37.95;41.2;10.7;378.25;4.45;6.75;258;142;38.8;8;8.2;0.5;98.65;4.3;;Sand;3.63;0;23.36
P2.2;3;29.09.2023;2395;258.5;28085;342950;547.3;641.1;97.6;10785;1261;1934.5;20;31.55;95.5;8273.5;12.4;10.4;30.25;7.15;1.4;6.15;8.45;37.55;39.35;10.35;426.3;4.15;1.5;232;110;37.75;6.85;5.5;0.15;59.5;3.3;;Sand;3.56;0;26.05
